player_id,churn_probability,risk_tier
PSN-00000,1.0729995305204492e-05,Low Risk
PSN-00002,0.9267220131614072,Critical
PSN-00003,0.999926375432776,Critical
PSN-00004,7.498128612814953e-06,Low Risk
PSN-00005,2.0501182887193385e-05,Low Risk
PSN-00008,1.2630355396040507e-05,Low Risk
PSN-00009,1.2041704994304309e-05,Low Risk
PSN-00010,1.4948892531062233e-05,Low Risk
PSN-00011,0.9668033109696236,Critical
PSN-00013,0.9998235867857151,Critical
PSN-00014,0.9862896497174334,Critical
PSN-00015,1.6356280635422656e-05,Low Risk
PSN-00017,1.4328880363368623e-05,Low Risk
PSN-00018,1.0709649906354904e-05,Low Risk
PSN-00019,7.807047980722802e-06,Low Risk
PSN-00020,1.0365328112764975e-05,Low Risk
PSN-00021,1.4521837191758188e-05,Low Risk
PSN-00022,1.0864426524320447e-05,Low Risk
PSN-00024,1.5123414924039252e-05,Low Risk
PSN-00025,5.565259315799672e-06,Low Risk
PSN-00026,1.7012623911944873e-05,Low Risk
PSN-00027,1.5581746013149556e-05,Low Risk
PSN-00028,8.28578235648719e-06,Low Risk
PSN-00029,2.6731559619736643e-06,Low Risk
PSN-00030,2.395736005769247e-06,Low Risk
PSN-00031,7.339591429288978e-06,Low Risk
PSN-00032,1.881733334818777e-05,Low Risk
PSN-00033,0.9999370656846633,Critical
PSN-00036,9.20251181256479e-06,Low Risk
PSN-00039,1.551979275962249e-05,Low Risk
PSN-00040,1.0198289114216811e-05,Low Risk
PSN-00042,1.3364031462470922e-05,Low Risk
PSN-00043,1.761556258926963e-05,Low Risk
PSN-00044,0.22540647506348732,Medium Risk
PSN-00045,3.3256365626176153e-05,Low Risk
PSN-00047,2.5392118315049456e-06,Low Risk
PSN-00049,1.5621171072087667e-05,Low Risk
PSN-00050,1.2277158019072578e-05,Low Risk
PSN-00051,1.0925537878873572e-05,Low Risk
PSN-00052,3.076388042595558e-05,Low Risk
PSN-00053,1.756017839738081e-05,Low Risk
PSN-00054,0.962246393938197,Critical
PSN-00055,1.0712088239786202e-05,Low Risk
PSN-00056,8.944700559088655e-06,Low Risk
PSN-00058,1.027649160903852e-05,Low Risk
PSN-00060,1.1534091844602155e-05,Low Risk
PSN-00061,7.272058390964228e-06,Low Risk
PSN-00063,1.2802841748592726e-05,Low Risk
PSN-00065,2.7801511113118822e-05,Low Risk
PSN-00066,1.417101713223056e-05,Low Risk
PSN-00068,1.569865614083002e-05,Low Risk
PSN-00070,1.6253167531518594e-05,Low Risk
PSN-00072,0.9998257614493166,Critical
PSN-00073,7.153465491422772e-06,Low Risk
PSN-00074,9.617931848794276e-06,Low Risk
PSN-00075,6.2370439335535045e-06,Low Risk
PSN-00076,1.1520997938799716e-05,Low Risk
PSN-00077,1.3535693046643574e-05,Low Risk
PSN-00078,2.2051512367287675e-05,Low Risk
PSN-00083,2.365988824708123e-06,Low Risk
PSN-00084,3.178297466941547e-05,Low Risk
PSN-00085,8.263713234428077e-06,Low Risk
PSN-00086,4.355728902672733e-05,Low Risk
PSN-00087,0.9999449042949234,Critical
PSN-00088,1.9420809117600804e-05,Low Risk
PSN-00089,1.2488796059918163e-05,Low Risk
PSN-00090,9.710190550199953e-06,Low Risk
PSN-00091,0.9997719122980957,Critical
PSN-00092,1.610025805093386e-05,Low Risk
PSN-00093,1.0888706597223256e-05,Low Risk
PSN-00096,0.9999702663493854,Critical
PSN-00097,1.0853485575718185e-05,Low Risk
PSN-00098,7.539257249221415e-06,Low Risk
PSN-00099,0.9990500578736483,Critical
PSN-00100,4.5841084594823934e-05,Low Risk
PSN-00101,1.3634414651642114e-05,Low Risk
PSN-00102,5.800917197628657e-06,Low Risk
PSN-00103,0.999975373559144,Critical
PSN-00104,1.1926968715845455e-05,Low Risk
PSN-00105,0.9999313038687531,Critical
PSN-00107,7.128350681636675e-06,Low Risk
PSN-00108,1.681711154911733e-05,Low Risk
PSN-00109,0.9781247085544319,Critical
PSN-00110,1.6664952883793082e-05,Low Risk
PSN-00111,0.972794579232078,Critical
PSN-00112,1.5369957220090638e-05,Low Risk
PSN-00113,1.1291050314777648e-05,Low Risk
PSN-00116,5.881566164659228e-06,Low Risk
PSN-00117,0.9997913488679605,Critical
PSN-00118,1.6749595672887126e-05,Low Risk
PSN-00119,7.452097338078572e-06,Low Risk
PSN-00121,2.6931389036394303e-05,Low Risk
PSN-00122,7.034612713694975e-06,Low Risk
PSN-00124,1.0008827906344271e-05,Low Risk
PSN-00125,0.9785916652799385,Critical
PSN-00126,8.595803787573918e-06,Low Risk
PSN-00127,1.9778357257917634e-06,Low Risk
PSN-00128,1.4798412714244778e-05,Low Risk
PSN-00130,8.095231300124122e-06,Low Risk
PSN-00131,0.20379086634118146,Medium Risk
PSN-00132,1.1328124945040155e-05,Low Risk
PSN-00133,1.5272846568552427e-05,Low Risk
PSN-00134,1.5286477605642862e-05,Low Risk
PSN-00135,1.9178737106666843e-05,Low Risk
PSN-00136,2.7167099342112078e-05,Low Risk
PSN-00137,1.481550038133014e-05,Low Risk
PSN-00138,1.8974623963483646e-05,Low Risk
PSN-00139,6.701814902959319e-07,Low Risk
PSN-00140,8.112055864836001e-06,Low Risk
PSN-00141,1.2852207725937581e-05,Low Risk
PSN-00143,3.989950459805756e-05,Low Risk
