player_id,dlc_propensity,propensity_tier,churn_probability,risk_tier,churn_flag,propensity_flag,action_quadrant
PSN-00000,0.024543014382083922,Low,1.0729995305204492e-05,Low Risk,0,0,Monitor
PSN-00001,0.09036983423760193,Low,0.0,Low Risk,0,0,Monitor
PSN-00002,0.01126295330700749,Low,0.9267220131614072,Critical,1,0,Retain
PSN-00003,0.013173283847070104,Low,0.999926375432776,Critical,1,0,Retain
PSN-00004,0.6761505887182602,Very High,7.498128612814953e-06,Low Risk,0,1,Upsell
PSN-00005,0.09959904659454695,Low,2.0501182887193385e-05,Low Risk,0,0,Monitor
PSN-00006,0.04344885709244471,Low,0.0,Low Risk,0,0,Monitor
PSN-00007,0.03571431880645301,Low,0.0,Low Risk,0,0,Monitor
PSN-00008,0.6753383823558013,Very High,1.2630355396040507e-05,Low Risk,0,1,Upsell
PSN-00009,0.15128414725673311,Medium,1.2041704994304309e-05,Low Risk,0,0,Monitor
PSN-00010,0.0604078190994704,Low,1.4948892531062233e-05,Low Risk,0,0,Monitor
PSN-00011,0.013336451488815291,Low,0.9668033109696236,Critical,1,0,Retain
PSN-00012,0.12556213860799836,Low,0.0,Low Risk,0,0,Monitor
PSN-00013,0.05325449859914781,Low,0.9998235867857151,Critical,1,0,Retain
PSN-00014,0.010561036289980532,Low,0.9862896497174334,Critical,1,0,Retain
PSN-00015,0.8610993771259762,Very High,1.6356280635422656e-05,Low Risk,0,1,Upsell
PSN-00016,0.066163220939394,Low,0.0,Low Risk,0,0,Monitor
PSN-00017,0.9874851920958391,Very High,1.4328880363368625e-05,Low Risk,0,1,Upsell
PSN-00018,0.09024150068408612,Low,1.0709649906354904e-05,Low Risk,0,0,Monitor
PSN-00019,0.06786280596696091,Low,7.807047980722802e-06,Low Risk,0,0,Monitor
PSN-00020,0.02760109173399583,Low,1.0365328112764977e-05,Low Risk,0,0,Monitor
PSN-00021,0.16297238392042115,Medium,1.4521837191758188e-05,Low Risk,0,0,Monitor
PSN-00022,0.4414988069242819,High,1.0864426524320448e-05,Low Risk,0,1,Upsell
PSN-00023,0.014252703867343995,Low,0.0,Low Risk,0,0,Monitor
PSN-00024,0.06554911753359755,Low,1.5123414924039252e-05,Low Risk,0,0,Monitor
PSN-00025,0.9025615642887443,Very High,5.565259315799672e-06,Low Risk,0,1,Upsell
PSN-00026,0.2753673435400066,Medium,1.7012623911944873e-05,Low Risk,0,0,Monitor
PSN-00027,0.9765182814127034,Very High,1.5581746013149556e-05,Low Risk,0,1,Upsell
