player_id,country,age_group,is_ps5,account_age_months,tier,tenure_months,tier_ordinal,is_paid_subscriber,is_auto_renew,billing_cycle_ordinal,total_sessions,total_play_minutes,avg_session_duration,unique_games_played,days_since_last_session,sessions_30d,play_minutes_30d,sessions_90d,play_minutes_90d,sessions_180d,play_minutes_180d,session_trend_slope,total_spend,spend_dlc_free,spend_dlc_paid,spend_full_game,spend_mtx,n_transactions,avg_transaction_value,days_since_last_purchase,spend_last_90d,total_trophies,n_platinum,n_gold,unique_games_trophied,days_since_last_trophy,trophies_last_90d,n_dlc_free,n_dlc_paid,claimed_valhalla,engagement_recency_ratio,spend_per_session,trophy_per_session,first_party_ratio,target_churn,target_bought_paid_dlc
PSN-00000,US,35-44,1,19.2,Essential,15.4,1,True,1,1,29.0,906.0,31.24137931034483,1.0,8.0,2.0,83.0,5.0,171.0,10.0,367.0,0.114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,348.0,0.0,0.0,0.0,0.0,0.069,0.0,0.0345,0.0,0.0,0
PSN-00001,FR,35-44,1,30.7,Free,30.7,0,False,0,0,156.0,5184.0,33.23076923076923,3.0,3.0,7.0,283.0,21.0,786.0,37.0,1298.0,0.314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,2.0,61.0,1.0,0.0,0.0,0.0,0.0449,0.0,0.0385,0.3013,,0
PSN-00002,BR,18-24,0,69.1,Essential,68.6,1,True,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
PSN-00003,US,13-17,0,12.4,Essential,6.5,1,True,0,1,13.0,326.0,25.076923076923077,1.0,163.0,0.0,0.0,0.0,0.0,1.0,25.0,-0.257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,347.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0769,0.0,1.0,0
PSN-00004,US,18-24,1,12.6,Essential,12.6,1,True,1,3,129.0,4788.0,37.116279069767444,11.0,3.0,15.0,776.0,37.0,1612.0,63.0,2522.0,1.114,114.96,0.0,0.0,59.99,54.97,5.0,22.991999999999997,64.0,49.989999999999995,35.0,1.0,2.0,11.0,3.0,7.0,0.0,0.0,0.0,0.1163,0.89,0.2713,0.186,0.0,0
PSN-00005,JP,18-24,1,11.6,Essential,6.8,1,True,0,2,172.0,8906.0,51.77906976744186,2.0,1.0,19.0,1301.0,49.0,2989.0,84.0,4442.0,1.343,12.5,0.0,0.0,12.5,0.0,1.0,12.5,198.0,0.0,10.0,0.0,2.0,2.0,12.0,2.0,0.0,0.0,0.0,0.1105,0.07,0.0581,0.5698,0.0,0
PSN-00006,BR,25-34,1,82.1,Free,82.1,0,False,0,0,34.0,930.0,27.352941176470587,1.0,2.0,2.0,80.0,5.0,160.0,8.0,238.0,0.229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0588,0.0,0.0588,1.0,,0
PSN-00007,FR,45+,0,66.4,Free,66.4,0,False,0,0,38.0,965.0,25.394736842105264,2.0,10.0,2.0,75.0,5.0,146.0,9.0,234.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,411.0,0.0,0.0,0.0,0.0,0.0526,0.0,0.0263,0.4211,,0
PSN-00008,FR,18-24,1,26.9,Extra,15.6,2,True,1,1,209.0,13908.0,66.54545454545455,5.0,1.0,12.0,989.0,31.0,2222.0,55.0,3662.0,0.886,191.43,0.0,29.99,126.48,34.96,9.0,21.27,115.0,0.0,49.0,3.0,2.0,5.0,1.0,4.0,1.0,1.0,0.0,0.0574,0.92,0.2344,0.4163,0.0,1
PSN-00009,UK,18-24,0,41.0,Essential,33.7,1,True,1,2,107.0,3600.0,33.64485981308411,3.0,0.0,7.0,281.0,18.0,665.0,30.0,975.0,0.743,9.99,0.0,0.0,9.99,0.0,1.0,9.99,565.0,0.0,6.0,0.0,0.0,2.0,13.0,1.0,0.0,0.0,0.0,0.0654,0.09,0.0561,0.2897,0.0,0
PSN-00010,US,35-44,1,47.1,Essential,46.5,1,True,1,2,107.0,3722.0,34.78504672897196,1.0,4.0,6.0,258.0,15.0,639.0,28.0,960.0,0.343,12.5,0.0,0.0,12.5,0.0,1.0,12.5,174.0,0.0,12.0,1.0,0.0,1.0,26.0,2.0,0.0,0.0,0.0,0.0561,0.12,0.1121,0.0,0.0,0
PSN-00011,JP,25-34,0,54.1,Essential,50.2,1,True,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
