player_id,signup_date,country,age_group,platform
PSN-00000,2024-05-25,US,35-44,PS5
PSN-00001,2023-06-11,FR,35-44,PS5
PSN-00002,2020-03-29,BR,18-24,PS4
PSN-00003,2024-12-20,US,13-17,PS4
PSN-00004,2024-12-13,US,18-24,PS5
PSN-00005,2025-01-13,JP,18-24,PS5
PSN-00006,2019-02-26,BR,25-34,PS5
PSN-00007,2020-06-20,FR,45+,PS4
PSN-00008,2023-10-05,FR,18-24,PS5
PSN-00009,2022-08-02,UK,18-24,PS4
PSN-00010,2022-01-27,US,35-44,PS5
PSN-00011,2021-06-28,JP,25-34,PS4
PSN-00012,2021-11-16,US,13-17,PS4
PSN-00013,2022-10-28,BR,18-24,PS4
PSN-00014,2019-05-20,US,45+,PS4
PSN-00015,2022-07-08,US,18-24,PS4
PSN-00016,2020-04-28,JP,25-34,PS5
PSN-00017,2023-09-22,JP,35-44,PS4
PSN-00018,2020-03-03,DE,18-24,PS5
PSN-00019,2019-06-05,JP,35-44,PS5
PSN-00020,2021-08-10,IT,18-24,PS4
PSN-00021,2021-08-22,AU,18-24,PS4
PSN-00022,2025-06-05,ES,18-24,PS4
PSN-00023,2024-02-27,DE,45+,PS4
PSN-00024,2023-03-13,DE,18-24,PS4
PSN-00025,2021-03-05,DE,18-24,PS4
PSN-00026,2023-05-11,JP,45+,PS5
PSN-00027,2022-01-08,UK,18-24,PS5
PSN-00028,2020-05-05,DE,35-44,PS4
PSN-00029,2019-02-17,US,25-34,PS4
PSN-00030,2019-01-09,US,25-34,PS4
PSN-00031,2025-03-09,AU,35-44,PS5
PSN-00032,2023-11-29,US,35-44,PS5
PSN-00033,2021-10-12,JP,18-24,PS5
PSN-00034,2021-09-16,DE,45+,PS4
PSN-00035,2021-05-23,US,45+,PS5
PSN-00036,2020-07-14,ES,35-44,PS4
PSN-00037,2023-04-15,US,25-34,PS5
PSN-00038,2019-01-28,ES,25-34,PS5
PSN-00039,2022-09-02,BR,25-34,PS4
PSN-00040,2024-08-13,US,13-17,PS4
PSN-00041,2024-04-11,US,25-34,PS4
PSN-00042,2021-03-19,UK,25-34,PS5
PSN-00043,2024-02-15,UK,25-34,PS5
PSN-00044,2020-06-04,US,18-24,PS4
PSN-00045,2020-06-12,PL,25-34,PS4
PSN-00046,2021-01-22,US,25-34,PS5
PSN-00047,2019-02-08,AU,25-34,PS5
PSN-00048,2020-08-04,US,45+,PS4
PSN-00049,2024-02-15,SE,25-34,PS4
PSN-00050,2023-07-28,US,13-17,PS4
PSN-00051,2020-12-21,JP,13-17,PS4
PSN-00052,2020-11-15,JP,25-34,PS4
PSN-00053,2021-01-30,US,25-34,PS4
PSN-00054,2019-09-18,CA,35-44,PS4
PSN-00055,2019-12-13,US,18-24,PS4
PSN-00056,2024-12-14,JP,13-17,PS4
PSN-00057,2023-02-26,JP,25-34,PS4
PSN-00058,2023-01-23,DE,35-44,PS4
PSN-00059,2020-09-05,US,45+,PS5
PSN-00060,2024-02-18,US,35-44,PS5
PSN-00061,2020-01-23,US,25-34,PS4
PSN-00062,2024-10-22,UK,35-44,PS4
PSN-00063,2022-01-07,US,13-17,PS5
PSN-00064,2020-12-25,IT,25-34,PS4
PSN-00065,2023-07-02,JP,45+,PS4
PSN-00066,2021-07-02,DE,25-34,PS4
PSN-00067,2020-08-13,UK,45+,PS4
PSN-00068,2023-02-06,US,18-24,PS5
PSN-00069,2023-05-01,JP,18-24,PS4
PSN-00070,2022-08-14,US,25-34,PS5
PSN-00071,2021-10-08,UK,35-44,PS4
PSN-00072,2020-12-21,JP,18-24,PS5
PSN-00073,2021-06-03,JP,35-44,PS4
PSN-00074,2024-03-29,SE,18-24,PS5
PSN-00075,2021-02-26,US,35-44,PS4
PSN-00076,2024-10-19,JP,25-34,PS5
PSN-00077,2019-11-15,US,18-24,PS4
PSN-00078,2019-12-23,UK,35-44,PS4
PSN-00079,2020-12-29,FR,35-44,PS5
PSN-00080,2019-01-07,US,25-34,PS5
PSN-00081,2024-04-09,DE,18-24,PS4
PSN-00082,2021-01-15,UK,18-24,PS5
PSN-00083,2019-08-12,US,45+,PS4
PSN-00084,2022-09-16,MX,25-34,PS5
PSN-00085,2024-09-29,UK,35-44,PS4
PSN-00086,2024-12-16,CA,25-34,PS5
PSN-00087,2019-08-24,UK,35-44,PS4
PSN-00088,2023-10-03,MX,18-24,PS5
PSN-00089,2021-03-03,US,25-34,PS4
PSN-00090,2024-01-06,UK,25-34,PS5
PSN-00091,2022-08-20,BR,18-24,PS4
PSN-00092,2023-05-22,UK,18-24,PS5
PSN-00093,2024-01-09,UK,25-34,PS4
PSN-00094,2024-05-14,PL,35-44,PS5
PSN-00095,2019-11-11,JP,25-34,PS4
PSN-00096,2023-05-05,FR,13-17,PS4
PSN-00097,2019-11-06,DE,45+,PS4
PSN-00098,2024-08-29,CA,18-24,PS4
PSN-00099,2025-07-08,AU,18-24,PS5
PSN-00100,2020-02-26,JP,45+,PS4
PSN-00101,2020-10-03,US,35-44,PS4
PSN-00102,2024-05-15,US,45+,PS4
PSN-00103,2025-07-13,DE,35-44,PS5
PSN-00104,2020-05-17,CA,25-34,PS4
PSN-00105,2023-12-03,JP,18-24,PS4
PSN-00106,2023-04-23,US,18-24,PS4
PSN-00107,2019-06-18,US,45+,PS5
PSN-00108,2020-09-12,JP,35-44,PS5
PSN-00109,2024-01-24,AU,18-24,PS4
PSN-00110,2021-02-07,US,25-34,PS5
PSN-00111,2019-03-24,DE,18-24,PS5
PSN-00112,2022-08-15,BR,18-24,PS4
PSN-00113,2024-05-22,MX,35-44,PS4
PSN-00114,2022-05-03,US,13-17,PS5
PSN-00115,2024-11-06,IT,25-34,PS4
PSN-00116,2019-09-07,DE,45+,PS5
PSN-00117,2023-01-01,BR,25-34,PS4
PSN-00118,2022-11-23,US,25-34,PS4
PSN-00119,2024-11-25,JP,18-24,PS4
PSN-00120,2022-02-15,DE,13-17,PS5
PSN-00121,2023-12-06,UK,18-24,PS4
PSN-00122,2019-11-15,JP,18-24,PS5
PSN-00123,2019-04-08,JP,18-24,PS4
PSN-00124,2023-04-19,JP,18-24,PS5
PSN-00125,2019-01-09,US,18-24,PS4
PSN-00126,2024-03-30,JP,13-17,PS4
PSN-00127,2019-02-15,US,45+,PS5
PSN-00128,2023-02-16,IT,18-24,PS5
PSN-00129,2021-09-16,NL,25-34,PS4
PSN-00130,2022-11-14,US,35-44,PS4
PSN-00131,2022-09-27,US,18-24,PS5
PSN-00132,2021-08-30,US,25-34,PS4
PSN-00133,2021-11-20,JP,35-44,PS4
PSN-00134,2022-01-07,ES,25-34,PS4
PSN-00135,2023-01-22,JP,18-24,PS5
PSN-00136,2025-08-02,US,35-44,PS5
PSN-00137,2021-09-11,US,25-34,PS5
PSN-00138,2021-02-10,US,25-34,PS4
PSN-00139,2019-04-04,AU,13-17,PS5
PSN-00140,2023-09-03,DE,13-17,PS4
PSN-00141,2020-05-10,JP,35-44,PS4
PSN-00142,2025-05-11,UK,18-24,PS5
PSN-00143,2024-12-13,IT,18-24,PS4
PSN-00144,2023-09-15,UK,25-34,PS5
PSN-00145,2021-01-27,AU,45+,PS5
PSN-00146,2021-11-06,ES,13-17,PS4
PSN-00147,2020-12-12,JP,13-17,PS4
PSN-00148,2022-10-03,ES,25-34,PS5
PSN-00149,2019-12-01,US,25-34,PS4
PSN-00150,2024-09-17,FR,25-34,PS5
PSN-00151,2024-12-01,US,35-44,PS4
