player_id,tier,start_date,end_date,is_active,auto_renew,billing_cycle
PSN-00000,Essential,2024-09-19,,True,True,monthly
PSN-00001,Free,2023-06-11,,True,False,none
PSN-00002,Essential,2020-04-13,2021-03-11,False,False,monthly
PSN-00003,Essential,2025-06-17,2025-10-01,False,False,monthly
PSN-00004,Essential,2024-12-13,,True,True,annual
PSN-00005,Essential,2025-06-07,,True,False,quarterly
PSN-00006,Free,2019-02-26,,True,False,none
PSN-00007,Free,2020-06-20,,True,False,none
PSN-00008,Extra,2024-09-13,,True,True,monthly
PSN-00009,Essential,2023-03-10,,True,True,quarterly
PSN-00010,Essential,2022-02-14,,True,True,quarterly
PSN-00011,Essential,2021-10-25,2022-04-12,False,False,monthly
PSN-00012,Free,2021-11-16,,True,False,none
PSN-00013,Essential,2022-12-15,2025-07-22,False,False,monthly
PSN-00014,Essential,2020-01-08,2023-09-17,False,False,monthly
PSN-00015,Essential,2023-05-22,,True,False,annual
PSN-00016,Free,2020-04-28,,True,False,none
PSN-00017,Essential,2024-04-18,,True,True,monthly
PSN-00018,Essential,2020-12-20,,True,True,quarterly
PSN-00019,Essential,2020-04-20,,True,True,annual
PSN-00020,Essential,2022-02-04,,True,True,quarterly
PSN-00021,Essential,2022-06-20,,True,True,quarterly
PSN-00022,Essential,2025-07-25,,True,True,quarterly
PSN-00023,Free,2024-02-27,,True,False,none
PSN-00024,Essential,2023-09-12,,True,True,monthly
PSN-00025,Essential,2022-01-26,,True,True,annual
PSN-00026,Essential,2024-05-07,,True,False,monthly
PSN-00027,Essential,2022-08-03,,True,True,quarterly
PSN-00028,Premium,2021-01-26,,True,True,annual
PSN-00029,Essential,2019-05-12,,True,False,annual
PSN-00030,Essential,2019-08-30,,True,True,monthly
PSN-00031,Essential,2025-03-15,,True,True,annual
PSN-00032,Extra,2024-08-02,,True,False,annual
PSN-00033,Extra,2021-11-04,2024-07-30,False,True,quarterly
PSN-00034,Free,2021-09-16,,True,False,none
PSN-00035,Free,2021-05-23,,True,False,none
PSN-00036,Extra,2020-11-26,,True,True,quarterly
PSN-00037,Free,2023-04-15,,True,False,none
PSN-00038,Free,2019-01-28,,True,False,none
PSN-00039,Extra,2022-11-22,,True,True,quarterly
PSN-00040,Essential,2025-04-11,,True,True,quarterly
PSN-00041,Free,2024-04-11,,True,False,none
PSN-00042,Essential,2021-05-11,,True,True,monthly
PSN-00043,Extra,2024-11-12,,True,False,annual
PSN-00044,Essential,2021-01-22,,True,True,monthly
PSN-00045,Essential,2021-02-25,,True,True,monthly
PSN-00046,Free,2021-01-22,,True,False,none
PSN-00047,Premium,2019-04-22,,True,True,quarterly
PSN-00048,Free,2020-08-04,,True,False,none
